timestamp,cpu_percent,memory_rss_kb
1783404360,2.6,48468
1783404362,2.9,94736
1783404364,3.1,132008
1783404366,3.7,156528
1783404368,3.9,160404
1783404370,4.0,160404
1783404372,4.1,160404
1783404374,4.3,160404
1783404376,4.4,160404
1783404378,4.5,160404
1783404380,4.6,160404
1783404382,4.8,160404
1783404384,4.9,160404
1783404386,5.0,160404
1783404388,5.1,160404
1783404390,5.2,160404
1783404392,5.3,160404
1783404394,5.4,160404
1783404396,5.5,160404
1783404398,5.6,160404
1783404400,5.7,160404
1783404402,5.8,160404
1783404404,5.9,160404
1783404406,6.0,160404
1783404408,6.1,160404
1783404410,6.2,160404
1783404412,6.3,160404
1783404414,6.4,160404
1783404416,6.5,160404
1783404418,6.6,160404
