timestamp,cpu_percent,memory_rss_kb
1783434794,0.8,18440
1783434796,1.4,60524
1783434798,1.4,61640
1783434800,1.5,61640
1783434802,1.6,61640
1783434804,1.6,61640
1783434806,1.7,60136
1783434808,1.8,59528
1783434810,1.9,59528
1783434812,1.9,59528
1783434814,2.0,59528
1783434816,2.1,59528
1783434818,2.1,59528
1783434820,2.2,59528
1783434822,2.2,59528
1783434824,2.3,59528
1783434826,2.4,59528
1783434828,2.5,56256
1783434830,2.9,73828
1783434832,2.9,73828
1783434834,3.0,73828
1783434836,3.0,73828
1783434839,3.0,73828
1783434841,3.1,71876
1783434843,3.1,71876
1783434845,3.1,71876
1783434847,3.2,71876
1783434849,3.2,71876
1783434851,3.3,71876
1783434853,3.3,71876
