timestamp,cpu_percent,memory_rss_kb
1783463028,0.0,8136
1783463030,2.2,20748
1783463032,1.8,20920
1783463034,1.4,20920
1783463036,1.3,20924
1783463038,1.1,20924
1783463040,1.1,19980
1783463042,1.1,19980
1783463044,0.9,19980
1783463046,0.9,19980
1783463048,0.9,19980
1783463050,0.9,19980
1783463052,0.9,19980
1783463054,0.8,19980
1783463056,0.8,19980
1783463058,0.8,19980
1783463060,1.0,22472
1783463062,0.9,22764
1783463064,0.9,22764
1783463066,0.9,22768
1783463068,0.9,22768
1783463070,0.9,22600
1783463072,0.9,22600
1783463074,0.9,22600
1783463076,0.9,22600
1783463078,0.9,22600
1783463080,0.9,22600
1783463082,0.8,22600
1783463084,0.8,22600
1783463086,0.8,22600
