timestamp,cpu_percent,memory_rss_kb
1783463214,3.5,63604
1783463216,3.9,110656
1783463218,4.4,183664
1783463220,5.0,202868
1783463222,5.2,232372
1783463224,5.2,235900
1783463226,5.1,240712
1783463228,5.1,240712
1783463230,5.0,240712
1783463232,5.0,243368
1783463234,5.0,239024
1783463236,4.9,233704
1783463239,4.9,233704
1783463241,4.8,233704
1783463243,4.8,226732
1783463245,4.8,225220
1783463247,5.0,217516
1783463249,5.1,216512
1783463251,5.3,213760
1783463253,5.5,213460
1783463255,5.6,213068
1783463257,5.8,212344
1783463259,5.9,212256
1783463261,6.0,212148
1783463263,6.1,212084
1783463265,6.2,212084
1783463267,6.3,212080
1783463269,6.4,212080
1783463271,6.6,212080
1783463273,6.7,212092
