timestamp,cpu_percent,memory_rss_kb
1783489595,2.7,10560
1783489597,3.1,13040
1783489599,3.5,13584
1783489601,3.8,13620
1783489603,4.1,14204
1783489605,4.4,14260
1783489607,4.7,14240
1783489609,5.0,14360
1783489611,5.3,14400
1783489613,5.6,14564
1783489615,5.8,14672
1783489617,6.0,15308
1783489619,6.2,15032
1783489621,6.5,15096
1783489623,6.7,15212
