timestamp,cpu_percent,memory_rss_kb
1783404173,0.0,5456
1783404175,1.4,11660
1783404177,1.1,11660
1783404179,0.9,11660
1783404181,0.8,11660
1783404183,0.8,11660
1783404185,0.8,11660
1783404187,0.7,11660
1783404189,0.7,11660
1783404191,0.7,11660
1783404193,0.7,11660
1783404195,0.7,11660
1783404197,0.7,11660
1783404199,0.6,11660
1783404201,0.6,11660
1783404203,0.6,11660
1783404205,0.7,12612
1783404207,0.7,12612
1783404209,0.7,12612
1783404211,0.7,12612
1783404213,0.7,12612
1783404215,0.7,12612
1783404217,0.7,12612
1783404219,0.7,12612
1783404221,0.6,12612
1783404223,0.7,12612
1783404225,0.6,12612
1783404227,0.6,12612
1783404229,0.6,12612
1783404231,0.6,12612
