timestamp,cpu_millicores,memory_rss_kb
1783496464,1270,32768
1783496466,1270,32768
1783496468,1671,29696
1783496471,1671,29696
1783496473,1671,29696
1783496475,1671,29696
1783496477,1671,29696
1783496479,1671,29696
1783496481,1671,29696
1783496483,2730,33792
1783496485,2730,33792
1783496487,2730,33792
1783496489,2730,33792
1783496491,2730,33792
1783496493,2730,33792
1783496495,2730,33792
1783496497,2730,33792
1783496499,3255,36864
1783496501,3255,36864
1783496503,3255,36864
1783496505,3255,36864
1783496507,3255,36864
1783496509,3255,36864
1783496511,3255,36864
1783496514,3496,33792
1783496516,3496,33792
1783496518,3496,33792
1783496520,3496,33792
1783496522,3496,33792
1783496524,3496,33792
1783496526,3496,33792
1783496528,4083,33792
1783496530,4083,33792
1783496532,4083,33792
1783496534,4083,33792
1783496536,4083,33792
1783496538,4083,33792
1783496540,4083,33792
1783496542,4083,33792
1783496544,3898,34816
1783496546,3898,34816
1783496548,3898,34816
1783496550,3898,34816
1783496552,3898,34816
1783496554,3898,34816
1783496557,3898,34816
1783496559,3628,32768
1783496561,3628,32768
1783496563,3628,32768
1783496565,3628,32768
1783496567,3628,32768
1783496569,3628,32768
1783496571,3628,32768
1783496573,3704,36864
1783496575,3704,36864
1783496577,3704,36864
1783496579,3704,36864
1783496581,3704,36864
1783496583,3704,36864
