timestamp,host_util_percent
1783496218,42.9
1783496220,12.6
1783496222,9.7
1783496224,9.8
1783496226,9.8
1783496228,14.9
1783496230,10.7
1783496232,10.5
1783496234,11.2
1783496236,10.0
1783496238,11.0
1783496240,9.6
1783496242,10.6
1783496244,9.3
1783496247,9.9
1783496249,10.5
1783496251,9.5
1783496253,9.0
1783496255,8.9
1783496257,9.2
1783496259,9.5
1783496261,9.1
1783496263,9.5
1783496265,11.9
1783496267,12.5
1783496269,11.5
1783496271,11.7
1783496273,11.7
1783496275,11.5
1783496277,11.7
1783496279,11.9
1783496281,10.3
1783496283,11.7
1783496285,9.6
1783496287,8.8
1783496289,9.9
1783496291,8.9
1783496294,9.3
1783496296,8.7
1783496298,9.2
1783496300,9.0
1783496302,9.2
1783496304,8.9
1783496306,9.4
1783496308,9.5
1783496310,8.9
1783496312,8.7
1783496314,9.0
1783496316,9.0
1783496318,9.3
1783496320,9.9
1783496322,8.7
1783496324,8.9
1783496326,9.1
1783496328,10.9
1783496330,11.5
1783496332,11.7
1783496334,11.7
1783496336,12.0
