timestamp,host_util_percent
1783496464,25.0
1783496466,31.0
1783496468,34.6
1783496470,39.4
1783496473,28.0
1783496475,32.0
1783496477,33.4
1783496479,31.8
1783496481,29.2
1783496483,31.5
1783496485,34.6
1783496487,25.8
1783496489,40.8
1783496491,29.1
1783496493,36.8
1783496495,29.6
1783496497,25.8
1783496499,44.4
1783496501,22.8
1783496503,47.6
1783496505,37.1
1783496507,32.0
1783496509,33.8
1783496511,31.9
1783496513,36.8
1783496516,44.4
1783496518,30.2
1783496520,42.2
1783496522,31.6
1783496524,44.9
1783496526,32.7
1783496528,47.4
1783496530,29.1
1783496532,44.8
1783496534,28.6
1783496536,37.6
1783496538,28.2
1783496540,39.6
1783496542,38.0
1783496544,22.8
1783496546,38.9
1783496548,28.5
1783496550,34.2
1783496552,28.0
1783496554,34.1
1783496556,36.8
1783496559,33.7
1783496561,38.6
1783496563,32.5
1783496565,39.7
1783496567,28.8
1783496569,40.8
1783496571,29.1
1783496573,42.4
1783496575,26.8
1783496577,51.4
1783496579,25.2
1783496581,52.2
1783496583,25.6
