timestamp,cpu_millicores,memory_rss_kb
1783506266,21,35840
1783506268,21,35840
1783506270,21,35840
1783506272,21,35840
1783506274,24,43008
1783506276,24,43008
1783506278,24,43008
1783506281,24,43008
1783506283,24,43008
1783506285,24,43008
1783506287,24,43008
1783506289,40,47104
1783506291,40,47104
1783506293,40,47104
1783506295,40,47104
1783506297,40,47104
1783506299,40,47104
1783506301,40,47104
1783506303,40,47104
1783506305,35,47104
1783506307,35,47104
1783506309,35,47104
1783506311,35,47104
1783506313,35,47104
1783506315,35,47104
1783506317,35,47104
1783506319,34,48128
1783506321,34,48128
1783506323,34,48128
1783506325,34,48128
