timestamp,cpu_millicores,memory_rss_kb
1783506618,39,17408
1783506620,39,17408
1783506622,39,17408
1783506624,41,22528
1783506626,41,22528
1783506628,41,22528
1783506630,41,22528
1783506632,41,22528
1783506634,41,22528
1783506636,41,22528
1783506638,41,22528
1783506640,79,30720
1783506642,79,30720
1783506644,79,30720
1783506646,79,30720
1783506648,79,30720
1783506650,79,30720
1783506652,79,30720
1783506654,86,29696
1783506656,86,29696
1783506658,86,29696
1783506661,86,29696
1783506663,86,29696
1783506665,86,29696
1783506667,86,29696
1783506669,86,30720
1783506671,86,30720
1783506673,86,30720
1783506675,86,30720
1783506677,86,30720
