timestamp,host_util_percent
1783506618,28.6
1783506620,11.6
1783506622,11.5
1783506624,11.3
1783506626,11.1
1783506628,10.9
1783506630,11.7
1783506632,11.3
1783506634,11.5
1783506636,11.1
1783506638,10.7
1783506640,11.3
1783506642,11.0
1783506644,10.5
1783506646,10.9
1783506648,11.4
1783506650,11.3
1783506652,11.9
1783506654,11.1
1783506656,10.7
1783506658,11.2
1783506660,10.8
1783506663,10.6
1783506665,10.7
1783506667,11.6
1783506669,11.6
1783506671,11.6
1783506673,10.7
1783506675,10.7
1783506677,10.6
