timestamp,cpu_millicores,memory_rss_kb
1783413567,376,253952
1783413569,376,253952
1783413571,391,268288
1783413573,391,268288
1783413575,391,268288
1783413577,391,268288
1783413580,391,268288
1783413582,391,268288
1783413584,391,268288
1783413586,391,268288
1783413588,403,705536
1783413590,403,705536
1783413592,403,705536
1783413594,403,705536
1783413596,403,705536
1783413598,403,705536
1783413600,403,705536
1783413602,1469,932864
1783413604,1469,932864
1783413606,1469,932864
1783413608,1469,932864
1783413610,1469,932864
1783413612,1469,932864
1783413614,1469,932864
1783413616,1469,932864
1783413618,1504,930816
1783413620,1504,930816
1783413622,1504,930816
1783413624,1504,930816
1783413626,1504,930816
1783413628,1504,930816
1783413631,1504,930816
1783413633,1491,939008
1783413635,1491,939008
1783413637,1491,939008
1783413639,1491,939008
1783413641,1491,939008
1783413643,1491,939008
1783413645,1491,939008
1783413647,1493,944128
1783413649,1493,944128
1783413651,1493,944128
1783413653,1493,944128
1783413655,1493,944128
1783413657,1493,944128
1783413659,1493,944128
1783413661,1493,944128
1783413663,1502,949248
1783413665,1502,949248
1783413667,1502,949248
1783413669,1502,949248
1783413671,1502,949248
1783413673,1502,949248
1783413675,1502,949248
1783413678,1474,924672
1783413680,1474,924672
1783413682,1474,924672
1783413684,1474,924672
1783413686,1474,924672
1783413688,1474,924672
1783413690,1474,924672
1783413692,1495,948224
1783413694,1495,948224
1783413696,1495,948224
1783413698,1495,948224
1783413700,1495,948224
1783413702,1495,948224
1783413704,1495,948224
1783413706,1495,948224
1783413708,1531,949248
1783413710,1531,949248
1783413712,1531,949248
1783413714,1531,949248
1783413716,1531,949248
1783413718,1531,949248
1783413720,1531,949248
1783413722,1469,949248
1783413724,1469,949248
1783413727,1469,949248
1783413729,1469,949248
1783413731,1469,949248
1783413733,1469,949248
1783413735,1469,949248
1783413737,1562,947200
1783413739,1562,947200
1783413741,1562,947200
1783413743,1562,947200
1783413745,1562,947200
1783413747,1562,947200
1783413749,1562,947200
1783413751,1562,947200
1783413753,1500,950272
1783413755,1500,950272
1783413757,1500,950272
1783413759,1500,950272
1783413761,1500,950272
1783413763,1500,950272
1783413765,1500,950272
1783413767,1519,933888
1783413769,1519,933888
1783413771,1519,933888
1783413774,1519,933888
1783413776,1519,933888
1783413778,1519,933888
1783413780,1519,933888
1783413782,1507,950272
1783413784,1507,950272
1783413786,1507,950272
1783413788,1507,950272
1783413790,1507,950272
1783413792,1507,950272
1783413794,1507,950272
1783413796,1507,950272
1783413798,1494,956416
1783413800,1494,956416
1783413802,1494,956416
1783413804,1494,956416
1783413806,1494,956416
1783413808,1494,956416
1783413810,1494,956416
1783413812,1477,958464
1783413814,1477,958464
1783413816,1477,958464
1783413818,1477,958464
1783413820,1477,958464
1783413823,1477,958464
1783413825,1477,958464
1783413827,1507,948224
1783413829,1507,948224
1783413831,1507,948224
1783413833,1507,948224
1783413835,1507,948224
1783413837,1507,948224
1783413839,1507,948224
1783413841,1507,948224
1783413843,1538,949248
1783413845,1538,949248
1783413847,1538,949248
1783413849,1538,949248
1783413851,1538,949248
1783413853,1538,949248
1783413855,1538,949248
1783413857,1488,952320
1783413859,1488,952320
1783413861,1488,952320
1783413863,1488,952320
1783413865,1488,952320
