timestamp,cpu_millicores,memory_rss_kb
1783506553,2,6144
1783506555,2,6144
1783506557,2,6144
1783506559,2,6144
1783506561,2,6144
1783506563,2,6144
1783506565,16,16384
1783506567,16,16384
1783506569,16,16384
1783506571,16,16384
1783506573,16,16384
1783506575,16,16384
1783506577,16,16384
1783506579,40,18432
1783506581,40,18432
1783506583,40,18432
1783506585,40,18432
1783506587,40,18432
1783506589,40,18432
1783506591,40,18432
1783506594,40,18432
1783506596,40,14336
1783506598,40,14336
1783506600,40,14336
1783506602,40,14336
1783506604,40,14336
1783506606,40,14336
