timestamp,host_util_percent
1783506547,80.0
1783506549,11.9
1783506551,10.8
1783506553,11.2
1783506555,10.8
1783506557,10.1
1783506559,11.0
1783506561,11.3
1783506563,10.8
1783506565,10.3
1783506567,10.4
1783506569,10.7
1783506571,10.2
1783506573,11.6
1783506575,11.4
1783506577,11.0
1783506579,10.2
1783506581,10.3
1783506583,11.1
1783506585,10.7
1783506587,10.4
1783506589,10.2
1783506591,11.0
1783506593,10.2
1783506596,10.3
1783506598,10.7
1783506600,11.0
1783506602,9.9
1783506604,10.5
1783506606,10.1
