timestamp,cpu_millicores,memory_rss_kb
1783506689,85,30720
1783506691,85,30720
1783506693,85,30720
1783506695,85,30720
1783506697,85,30720
1783506699,85,36864
1783506701,85,36864
1783506703,85,36864
1783506705,85,36864
1783506707,85,36864
1783506709,85,36864
1783506711,85,36864
1783506713,85,36864
1783506715,137,48128
1783506717,137,48128
1783506719,137,48128
1783506721,137,48128
1783506724,137,48128
1783506726,137,48128
1783506728,137,48128
1783506730,158,50176
1783506732,158,50176
1783506734,158,50176
1783506736,158,50176
1783506738,158,50176
1783506740,158,50176
1783506742,158,50176
1783506744,161,51200
1783506746,161,51200
1783506748,161,51200
