timestamp,cpu_millicores,memory_rss_kb
1783412960,1,5120
1783412962,1,5120
1783412964,1,5120
1783412966,1,5120
1783412968,1,5120
1783412970,1,5120
1783412972,18,33792
1783412974,18,33792
1783412976,18,33792
1783412978,18,33792
1783412981,18,33792
1783412983,18,33792
1783412985,18,33792
1783412987,41,35840
1783412989,41,35840
1783412991,41,35840
1783412993,41,35840
1783412995,41,35840
1783412997,41,35840
1783412999,41,35840
1783413001,41,35840
1783413003,42,37888
1783413005,42,37888
1783413007,42,37888
1783413009,42,37888
1783413011,42,37888
1783413013,42,37888
1783413015,42,37888
1783413017,42,37888
1783413019,42,37888
1783413021,42,37888
1783413023,42,37888
1783413025,42,37888
1783413027,42,37888
1783413029,42,37888
1783413032,40,37888
1783413034,40,37888
1783413036,40,37888
1783413038,40,37888
1783413040,40,37888
1783413042,40,37888
1783413044,40,37888
1783413046,40,37888
1783413048,41,37888
1783413050,41,37888
1783413052,41,37888
1783413054,41,37888
1783413056,41,37888
1783413058,41,37888
1783413060,41,37888
1783413062,42,38912
1783413064,42,38912
1783413066,42,38912
1783413068,42,38912
1783413070,42,38912
1783413072,42,38912
1783413074,42,38912
1783413076,41,36864
1783413078,41,36864
1783413080,41,36864
1783413082,41,36864
1783413084,41,36864
1783413087,41,36864
1783413089,41,36864
1783413091,41,36864
1783413093,42,36864
1783413095,42,36864
1783413097,42,36864
1783413099,42,36864
1783413101,42,36864
1783413103,42,36864
1783413105,42,36864
1783413107,41,36864
1783413109,41,36864
1783413111,41,36864
1783413113,41,36864
1783413115,41,36864
1783413117,41,36864
1783413119,41,36864
1783413121,41,36864
1783413123,41,37888
1783413125,41,37888
1783413127,41,37888
1783413129,41,37888
1783413131,41,37888
1783413133,41,37888
1783413135,41,37888
1783413138,42,36864
1783413140,42,36864
1783413142,42,36864
1783413144,42,36864
1783413146,42,36864
1783413148,42,36864
1783413150,42,36864
1783413152,42,36864
1783413154,42,36864
1783413156,42,36864
1783413158,42,36864
1783413160,42,36864
1783413162,42,36864
1783413164,42,36864
1783413166,42,36864
1783413168,41,34816
1783413170,41,34816
1783413172,41,34816
1783413174,41,34816
1783413176,41,34816
1783413178,41,34816
1783413180,41,34816
1783413182,41,35840
1783413184,41,35840
1783413186,41,35840
1783413188,41,35840
1783413191,41,35840
1783413193,41,35840
1783413195,41,35840
1783413197,39,36864
1783413199,39,36864
1783413201,39,36864
1783413203,39,36864
1783413205,39,36864
1783413207,39,36864
1783413209,39,36864
1783413211,39,36864
1783413213,40,36864
1783413215,40,36864
1783413217,40,36864
1783413219,40,36864
1783413221,40,36864
1783413223,40,36864
1783413225,40,36864
1783413227,41,37888
1783413229,41,37888
1783413231,41,37888
1783413233,41,37888
1783413235,41,37888
1783413237,41,37888
1783413239,41,37888
1783413241,40,35840
1783413244,40,35840
1783413246,40,35840
1783413248,40,35840
1783413250,40,35840
1783413252,40,35840
