timestamp,host_util_percent
1783507193,66.7
1783507195,12.2
1783507197,10.3
1783507199,11.1
1783507201,11.6
1783507203,11.1
1783507205,11.3
1783507207,10.6
1783507209,10.6
1783507211,10.6
1783507213,10.5
1783507215,11.9
1783507217,10.7
1783507219,10.2
1783507222,10.4
1783507224,10.7
1783507226,11.5
1783507228,10.2
1783507230,10.3
1783507232,11.5
1783507234,11.0
1783507236,10.8
1783507238,10.5
1783507240,13.2
1783507242,14.3
1783507244,10.6
1783507246,10.2
1783507248,10.4
1783507250,10.7
1783507252,10.9
