timestamp,cpu_millicores,memory_rss_kb
1783414616,127,101376
1783414618,127,101376
1783414620,130,101376
1783414622,130,101376
1783414624,130,101376
1783414626,130,101376
1783414628,130,101376
1783414630,130,101376
1783414632,130,101376
1783414634,108,114688
1783414636,108,114688
1783414638,108,114688
1783414640,108,114688
1783414642,108,114688
1783414644,108,114688
1783414646,108,114688
1783414648,108,114688
1783414650,165,150528
1783414652,165,150528
1783414654,165,150528
1783414656,165,150528
1783414658,165,150528
1783414660,165,150528
1783414663,165,150528
1783414665,637,143360
1783414667,637,143360
1783414669,637,143360
1783414671,637,143360
1783414673,637,143360
1783414675,637,143360
1783414677,637,143360
1783414679,666,145408
1783414681,666,145408
1783414683,666,145408
1783414685,666,145408
1783414687,666,145408
1783414689,666,145408
1783414691,666,145408
1783414693,666,145408
1783414695,631,141312
1783414697,631,141312
1783414699,631,141312
1783414701,631,141312
1783414703,631,141312
1783414705,631,141312
1783414707,631,141312
1783414710,562,224256
1783414712,562,224256
1783414714,562,224256
1783414716,562,224256
1783414718,562,224256
1783414720,562,224256
1783414722,562,224256
1783414724,563,236544
1783414726,563,236544
1783414728,563,236544
1783414730,563,236544
1783414732,563,236544
1783414734,563,236544
1783414736,563,236544
1783414738,563,236544
1783414740,537,254976
1783414742,537,254976
1783414744,537,254976
1783414746,537,254976
1783414748,537,254976
1783414750,537,254976
1783414752,537,254976
1783414754,537,254976
1783414756,537,254976
1783414759,537,254976
1783414761,537,254976
1783414763,537,254976
1783414765,537,254976
1783414767,537,254976
1783414769,541,273408
1783414771,541,273408
1783414773,541,273408
1783414775,541,273408
1783414777,541,273408
1783414779,541,273408
1783414781,541,273408
1783414783,541,273408
1783414785,529,279552
1783414787,529,279552
1783414789,529,279552
1783414791,529,279552
1783414793,529,279552
1783414795,529,279552
1783414797,529,279552
1783414799,525,297984
1783414801,525,297984
1783414803,525,297984
1783414806,525,297984
1783414808,525,297984
1783414810,525,297984
1783414812,525,297984
1783414814,497,291840
1783414816,497,291840
1783414818,497,291840
1783414820,497,291840
1783414822,497,291840
1783414824,497,291840
1783414826,497,291840
1783414828,497,291840
1783414830,518,299008
1783414832,518,299008
1783414834,518,299008
1783414836,518,299008
1783414838,518,299008
1783414840,518,299008
1783414842,518,299008
1783414844,511,300032
1783414846,511,300032
1783414848,511,300032
1783414850,511,300032
1783414852,511,300032
1783414855,511,300032
1783414857,511,300032
1783414859,555,304128
1783414861,555,304128
1783414863,555,304128
1783414865,555,304128
1783414867,555,304128
1783414869,555,304128
1783414871,555,304128
1783414873,555,304128
1783414875,554,322560
1783414877,554,322560
1783414879,554,322560
1783414881,554,322560
1783414883,554,322560
1783414885,554,322560
1783414887,554,322560
1783414889,569,314368
1783414891,569,314368
1783414893,569,314368
1783414895,569,314368
1783414897,569,314368
1783414899,569,314368
1783414901,569,314368
1783414904,531,319488
1783414906,531,319488
1783414908,531,319488
1783414910,531,319488
1783414912,531,319488
1783414914,531,319488
