timestamp,cpu_millicores,memory_rss_kb
1783507199,5,6144
1783507201,5,6144
1783507203,5,6144
1783507205,5,6144
1783507207,5,6144
1783507209,5,6144
1783507211,18,9216
1783507213,18,9216
1783507215,18,9216
1783507217,18,9216
1783507220,18,9216
1783507222,18,9216
1783507224,18,9216
1783507226,43,9216
1783507228,43,9216
1783507230,43,9216
1783507232,43,9216
1783507234,43,9216
1783507236,43,9216
1783507238,43,9216
1783507240,43,9216
1783507242,43,9216
1783507244,43,9216
1783507246,43,9216
1783507248,43,9216
1783507250,43,9216
1783507252,43,9216
