timestamp,cpu_millicores,memory_rss_kb
1783414001,3,1024
1783414003,3,1024
1783414005,1,2048
1783414007,1,2048
1783414009,1,2048
1783414011,1,2048
1783414013,1,2048
1783414015,1,2048
1783414017,1,2048
1783414019,17,7168
1783414021,17,7168
1783414023,17,7168
1783414026,17,7168
1783414028,17,7168
1783414030,17,7168
1783414032,17,7168
1783414034,20,7168
1783414036,20,7168
1783414038,20,7168
1783414040,20,7168
1783414042,20,7168
1783414044,20,7168
1783414046,20,7168
1783414048,20,7168
1783414050,19,8192
1783414052,19,8192
1783414054,19,8192
1783414056,19,8192
1783414058,19,8192
1783414060,19,8192
1783414062,19,8192
1783414064,20,7168
1783414066,20,7168
1783414068,20,7168
1783414070,20,7168
1783414072,20,7168
1783414074,20,7168
1783414076,20,7168
1783414079,19,12288
1783414081,19,12288
1783414083,19,12288
1783414085,19,12288
1783414087,19,12288
1783414089,19,12288
1783414091,19,12288
1783414093,19,12288
1783414095,17,13312
1783414097,17,13312
1783414099,17,13312
1783414101,17,13312
1783414103,17,13312
1783414105,17,13312
1783414107,17,13312
1783414109,16,13312
1783414111,16,13312
1783414113,16,13312
1783414115,16,13312
1783414117,16,13312
1783414119,16,13312
1783414121,16,13312
1783414123,17,14336
1783414125,17,14336
1783414127,17,14336
1783414130,17,14336
1783414132,17,14336
1783414134,17,14336
1783414136,17,14336
1783414138,17,14336
1783414140,17,15360
1783414142,17,15360
1783414144,17,15360
1783414146,17,15360
1783414148,17,15360
1783414150,17,15360
1783414152,17,15360
1783414154,17,14336
1783414156,17,14336
1783414158,17,14336
1783414160,17,14336
1783414162,17,14336
1783414164,17,14336
1783414166,17,14336
1783414168,16,13312
1783414170,16,13312
1783414172,16,13312
1783414174,16,13312
1783414176,16,13312
1783414178,16,13312
1783414181,16,13312
1783414183,16,13312
1783414185,16,14336
1783414187,16,14336
1783414189,16,14336
1783414191,16,14336
1783414193,16,14336
1783414195,16,14336
1783414197,16,14336
1783414199,16,14336
1783414201,16,14336
1783414203,16,14336
1783414205,16,14336
1783414207,16,14336
1783414209,16,14336
1783414211,16,14336
1783414213,16,14336
1783414215,17,15360
1783414217,17,15360
1783414219,17,15360
1783414221,17,15360
1783414223,17,15360
1783414225,17,15360
1783414227,17,15360
1783414229,17,15360
1783414231,17,15360
1783414234,17,15360
1783414236,17,15360
1783414238,17,15360
1783414240,17,15360
1783414242,17,15360
1783414244,17,14336
1783414246,17,14336
1783414248,17,14336
1783414250,17,14336
1783414252,17,14336
1783414254,17,14336
1783414256,17,14336
1783414258,17,14336
1783414260,17,14336
1783414262,17,14336
1783414264,17,14336
1783414266,17,14336
1783414268,17,14336
1783414270,17,14336
1783414272,17,14336
1783414274,16,14336
1783414276,16,14336
1783414278,16,14336
1783414280,16,14336
1783414282,16,14336
1783414284,16,14336
1783414287,16,14336
1783414289,17,13312
1783414291,17,13312
1783414293,17,13312
1783414295,17,13312
1783414297,17,13312
1783414299,17,13312
