timestamp,host_util_percent
1783507264,42.9
1783507266,12.2
1783507268,11.6
1783507270,10.9
1783507272,11.1
1783507274,11.3
1783507276,11.9
1783507278,11.0
1783507280,11.0
1783507282,11.5
1783507284,12.2
1783507286,12.0
1783507288,10.9
1783507291,11.0
1783507293,11.0
1783507295,11.1
1783507297,11.0
1783507299,11.9
1783507301,11.5
1783507303,11.0
1783507305,11.0
1783507307,10.6
1783507309,10.9
1783507311,10.7
1783507313,10.7
1783507315,11.3
1783507317,11.9
1783507319,10.9
1783507321,11.4
1783507323,10.5
