timestamp,cpu_millicores,memory_rss_kb
1783507335,58,17408
1783507337,58,17408
1783507339,58,17408
1783507341,58,17408
1783507343,58,17408
1783507345,70,17408
1783507347,70,17408
1783507349,70,17408
1783507351,70,17408
1783507354,70,17408
1783507356,70,17408
1783507358,70,17408
1783507360,70,17408
1783507362,121,18432
1783507364,121,18432
1783507366,121,18432
1783507368,121,18432
1783507370,121,18432
1783507372,121,18432
1783507374,121,18432
1783507376,112,19456
1783507378,112,19456
1783507380,112,19456
1783507382,112,19456
1783507384,112,19456
1783507386,112,19456
1783507388,112,19456
1783507390,97,27648
1783507392,97,27648
1783507394,97,27648
