timestamp,cpu_millicores,memory_rss_kb
1783507264,36,11264
1783507266,36,11264
1783507268,36,11264
1783507270,36,11264
1783507272,34,10240
1783507274,34,10240
1783507276,34,10240
1783507278,34,10240
1783507280,34,10240
1783507282,34,10240
1783507284,34,10240
1783507286,66,11264
1783507289,66,11264
1783507291,66,11264
1783507293,66,11264
1783507295,66,11264
1783507297,66,11264
1783507299,66,11264
1783507301,74,13312
1783507303,74,13312
1783507305,74,13312
1783507307,74,13312
1783507309,74,13312
1783507311,74,13312
1783507313,74,13312
1783507315,74,13312
1783507317,64,15360
1783507319,64,15360
1783507321,64,15360
1783507323,64,15360
